==== Printing Path ====
-3.40 -1.40 0.00 0.00 
-3.15 -1.25 4.71 1.86 
-2.90 -1.25 4.71 2.11 
-2.65 -1.25 4.71 2.36 
-2.40 -1.25 4.71 2.61 
-2.15 -1.25 4.71 2.86 
-1.90 -1.25 4.71 3.11 
-1.65 -1.25 4.71 3.36 
-1.40 -1.25 4.71 3.61 
-1.15 -1.25 4.71 3.86 
-0.90 -1.25 4.71 4.11 
-0.65 -1.25 4.71 4.36 
-0.40 -1.25 4.71 4.61 
-0.15 -1.25 4.71 4.86 
0.10 -1.25 4.71 5.11 
0.35 -1.25 4.71 5.36 
0.35 -1.10 4.71 5.51 
0.35 -0.95 4.71 5.66 
0.35 -0.80 4.71 5.81 
0.35 -0.65 4.71 5.96 
0.35 -0.50 4.71 6.11 
0.35 -0.35 4.71 6.26 
0.35 -0.20 4.71 6.41 
0.35 -0.05 4.71 6.56 
0.35 0.10 4.71 6.71 
0.35 0.25 4.71 6.86 
0.35 0.40 4.71 7.01 
0.35 0.55 4.71 7.16 
0.35 0.70 4.71 7.31 
0.35 0.85 4.71 7.46 
0.35 1.00 4.71 7.61 
0.60 1.15 4.71 7.90 
0.85 1.15 4.71 8.15 
1.10 1.15 4.71 8.40 
1.35 1.00 4.71 8.70 
1.60 0.85 4.71 8.99 
1.85 0.70 4.71 9.28 
2.10 0.55 4.71 9.57 
2.35 0.40 4.71 9.86 
2.60 0.25 4.71 10.15 
2.60 0.10 4.71 10.30 
2.60 -0.05 4.71 10.45 
2.60 -0.20 4.71 10.60 
2.60 -0.35 4.71 10.75 
2.60 -0.50 4.71 10.90 
2.60 -0.65 4.71 11.05 
2.60 -0.80 4.71 11.20 
2.60 -0.95 4.71 11.35 
2.60 -1.10 4.71 11.50 
==== Printing Path ====
