==== Printing Path ====
-3.40 -1.40 0.00 0.00 
-3.15 -1.40 0.00 0.25 
-2.90 -1.40 0.00 0.50 
-2.65 -1.40 0.00 0.75 
-2.40 -1.40 0.00 1.00 
-2.15 -1.40 0.00 1.25 
-1.90 -1.40 0.00 1.50 
-1.65 -1.40 0.00 1.75 
-1.40 -1.40 0.00 2.00 
-1.15 -1.40 0.00 2.25 
-0.90 -1.25 0.00 2.54 
-0.65 -1.10 0.00 2.83 
-0.40 -0.95 0.00 3.12 
-0.15 -0.80 0.00 3.42 
-0.15 -0.65 0.00 3.57 
-0.15 -0.50 0.00 3.72 
-0.15 -0.35 0.00 3.87 
-0.15 -0.20 0.00 4.02 
0.10 -0.05 0.00 4.31 
0.10 0.10 0.00 4.46 
0.10 0.25 0.00 4.61 
0.10 0.40 0.00 4.76 
0.10 0.55 0.00 4.91 
0.10 0.70 0.00 5.06 
0.10 0.85 0.00 5.21 
0.35 1.00 0.00 5.50 
0.60 1.15 0.00 5.79 
0.85 1.15 0.00 6.04 
1.10 1.15 0.00 6.29 
1.35 1.00 0.00 6.58 
1.35 0.85 0.00 6.73 
1.60 0.70 0.00 7.02 
1.85 0.55 0.00 7.32 
2.10 0.40 0.00 7.61 
2.35 0.25 0.00 7.90 
2.35 0.10 0.00 8.05 
2.35 -0.05 0.00 8.20 
2.35 -0.20 0.00 8.35 
2.35 -0.35 0.00 8.50 
2.35 -0.50 0.00 8.65 
2.35 -0.65 0.00 8.80 
2.35 -0.80 4.71 10.52 
2.35 -0.95 4.71 10.67 
2.60 -1.10 4.71 10.96 
==== Printing Path ====
